unit_number,max_cycle_zscore,zscore_earliest_cycle,zscore_earliest_pct,max_cycle_iso,iso_flag_cycle,iso_flag_pct,detection_diff_pct
90,154,121,78.57142857142857,154,29.0,18.83116883116883,-59.74025974025974
91,135,94,69.62962962962963,135,30.0,22.22222222222222,-47.40740740740741
92,341,260,76.24633431085044,341,184.0,53.95894428152492,-22.287390029325522
93,155,112,72.25806451612902,155,79.0,50.967741935483865,-21.29032258064516
94,258,194,75.1937984496124,258,35.0,13.565891472868216,-61.627906976744185
95,283,188,66.43109540636041,283,32.0,11.307420494699647,-55.123674911660764
96,336,182,54.166666666666664,336,47.0,13.988095238095239,-40.17857142857142
97,202,174,86.13861386138613,202,102.0,50.495049504950494,-35.64356435643564
98,156,118,75.64102564102564,156,63.0,40.38461538461539,-35.25641025641025
99,185,137,74.05405405405405,185,45.0,24.324324324324326,-49.729729729729726
100,200,135,67.5,200,66.0,33.0,-34.5
