unit_number,max_cycle_zscore,zscore_earliest_cycle,zscore_earliest_pct,max_cycle_iso,iso_flag_cycle,iso_flag_pct,max_cycle_lstm,lstm_flag_cycle,lstm_flag_pct
42,196,150,76.53061224489795,196,51.0,26.02040816326531,196,174.0,88.77551020408163
43,207,162,78.26086956521739,207,77.0,37.19806763285024,207,190.0,91.78743961352657
44,192,111,57.8125,192,,,192,181.0,94.27083333333334
45,158,117,74.0506329113924,158,58.0,36.708860759493675,158,151.0,95.56962025316456
46,256,198,77.34375,256,41.0,16.015625,256,152.0,59.375
47,214,159,74.29906542056075,214,47.0,21.962616822429908,214,201.0,93.92523364485982
48,231,187,80.95238095238095,231,44.0,19.047619047619047,231,181.0,78.35497835497836
49,215,170,79.06976744186046,215,31.0,14.418604651162791,215,152.0,70.69767441860465
50,198,128,64.64646464646465,198,36.0,18.181818181818183,198,184.0,92.92929292929293
51,213,190,89.2018779342723,213,39.0,18.30985915492958,213,203.0,95.30516431924883
52,213,176,82.62910798122066,213,69.0,32.3943661971831,213,187.0,87.79342723004694
53,195,128,65.64102564102564,195,37.0,18.974358974358974,195,188.0,96.41025641025641
54,257,186,72.37354085603113,257,39.0,15.17509727626459,257,108.0,42.023346303501945
55,193,178,92.2279792746114,193,98.0,50.77720207253886,193,181.0,93.78238341968913
56,275,228,82.9090909090909,275,33.0,12.0,275,223.0,81.0909090909091
57,137,106,77.37226277372264,137,54.0,39.416058394160586,137,42.0,30.656934306569344
58,147,109,74.14965986394559,147,57.0,38.775510204081634,147,135.0,91.83673469387756
59,231,174,75.32467532467533,231,94.0,40.692640692640694,231,204.0,88.31168831168831
60,172,146,84.88372093023256,172,70.0,40.69767441860465,172,166.0,96.51162790697676
61,185,135,72.97297297297297,185,45.0,24.324324324324326,185,174.0,94.05405405405406
62,180,155,86.11111111111111,180,30.0,16.666666666666664,180,142.0,78.88888888888889
63,174,147,84.48275862068965,174,42.0,24.137931034482758,174,168.0,96.55172413793103
64,283,217,76.67844522968198,283,52.0,18.374558303886925,283,252.0,89.04593639575971
65,153,112,73.20261437908496,153,30.0,19.607843137254903,153,145.0,94.77124183006535
66,202,158,78.21782178217822,202,,,202,166.0,82.17821782178217
67,313,217,69.32907348242811,313,53.0,16.93290734824281,313,284.0,90.73482428115017
68,199,152,76.38190954773869,199,63.0,31.65829145728643,199,184.0,92.46231155778895
69,362,234,64.64088397790056,362,51.0,14.088397790055248,362,316.0,87.29281767955801
70,137,110,80.2919708029197,137,,,137,123.0,89.78102189781022
71,208,138,66.34615384615384,208,80.0,38.46153846153847,208,192.0,92.3076923076923
72,213,167,78.40375586854461,213,39.0,18.30985915492958,213,183.0,85.91549295774648
73,213,175,82.15962441314554,213,30.0,14.084507042253522,213,159.0,74.64788732394366
74,166,130,78.3132530120482,166,,,166,161.0,96.98795180722891
75,229,115,50.21834061135371,229,,,229,189.0,82.53275109170306
76,210,162,77.14285714285715,210,85.0,40.476190476190474,210,176.0,83.80952380952381
77,154,126,81.81818181818183,154,30.0,19.480519480519483,154,58.0,37.66233766233766
78,231,165,71.42857142857143,231,30.0,12.987012987012985,231,219.0,94.8051948051948
79,199,152,76.38190954773869,199,,,199,191.0,95.97989949748744
80,185,167,90.27027027027027,185,40.0,21.62162162162162,185,175.0,94.5945945945946
81,240,181,75.41666666666667,240,79.0,32.916666666666664,240,209.0,87.08333333333333
82,214,154,71.96261682242991,214,91.0,42.523364485981304,214,174.0,81.30841121495327
83,293,212,72.35494880546075,293,,,293,262.0,89.419795221843
84,267,203,76.02996254681648,267,38.0,14.232209737827715,267,167.0,62.546816479400746
85,188,157,83.51063829787235,188,40.0,21.27659574468085,188,173.0,92.02127659574468
86,278,205,73.7410071942446,278,31.0,11.151079136690647,278,162.0,58.27338129496403
87,178,124,69.66292134831461,178,35.0,19.662921348314608,178,153.0,85.95505617977528
88,213,163,76.52582159624414,213,42.0,19.718309859154928,213,196.0,92.01877934272301
89,217,173,79.72350230414746,217,92.0,42.3963133640553,217,198.0,91.24423963133641
90,154,121,78.57142857142857,154,29.0,18.83116883116883,154,,
91,135,94,69.62962962962963,135,30.0,22.22222222222222,135,102.0,75.55555555555556
92,341,260,76.24633431085044,341,184.0,53.95894428152492,341,310.0,90.9090909090909
93,155,112,72.25806451612902,155,79.0,50.967741935483865,155,115.0,74.19354838709677
94,258,194,75.1937984496124,258,35.0,13.565891472868216,258,204.0,79.06976744186046
95,283,188,66.43109540636041,283,32.0,11.307420494699647,283,262.0,92.57950530035336
96,336,182,54.166666666666664,336,47.0,13.988095238095239,336,299.0,88.98809523809523
97,202,174,86.13861386138613,202,102.0,50.495049504950494,202,194.0,96.03960396039604
98,156,118,75.64102564102564,156,63.0,40.38461538461539,156,56.0,35.8974358974359
99,185,137,74.05405405405405,185,45.0,24.324324324324326,185,65.0,35.13513513513514
100,200,135,67.5,200,66.0,33.0,200,175.0,87.5
